"Part";"Value";"Device";"Package";"Description";"";
"C4";"10u";"CPOL-USB";"PANASONIC_B";"POLARIZED CAPACITOR, American symbol";"";
"C13";"2700p";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C25";"10u";"CPOL-USB";"PANASONIC_B";"POLARIZED CAPACITOR, American symbol";"";
"C26";"2700p";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"J1";"SJ1-3514-SMT";"SJ1-3514-SMT";"SJ1-3514-SMT";"";"";
"JP1";"";"M06SMD";"1X06-SMD";"Header 6";"";
"R1";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R2";"150";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R13";"150";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
"R14";"100k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";
